Date,Open,High,Low,Close,Adj Close,Volume
2014-08-06,8.110689,8.119564,7.993343,8.058426,6.126548,97535
2014-08-07,8.043634,8.043634,7.899663,8.036731,6.110054,89929
2014-08-08,7.972635,8.130411,7.938121,8.086037,6.147540,65307
2014-08-11,8.086037,8.086037,7.989399,8.026870,6.102558,52986
2014-08-12,8.036731,8.086037,7.945024,7.988412,6.073319,49984
2014-08-13,8.036731,8.036731,7.938121,7.943052,6.038834,25037
2014-08-14,7.959816,8.036731,7.957843,8.036731,6.110054,37511
2014-08-15,8.026870,8.036731,7.991371,8.006162,6.086814,37217
2014-08-18,8.007148,8.074203,8.007148,8.074203,6.138542,50998
2014-08-19,8.013065,8.184647,8.012079,8.105759,6.162534,27674
2014-08-20,8.159008,8.159994,8.067301,8.073217,6.137794,50542
2014-08-21,8.095898,8.172814,8.064342,8.068287,6.134046,14876
2014-08-22,8.070259,8.115620,8.036731,8.086037,6.147540,20859
2014-08-25,8.081106,8.125481,8.031801,8.086037,6.147540,20758
2014-08-26,8.171827,8.171827,8.036731,8.036731,6.110054,21042
2014-08-27,8.086037,8.095898,8.036731,8.046593,6.117552,21072
2014-08-28,8.056454,8.162953,8.048565,8.066315,6.132547,31872
2014-08-29,8.086037,8.162953,8.056454,8.135342,6.185025,52489
2014-09-01,8.114634,8.114634,7.947982,8.026870,6.102558,45725
2014-09-02,8.041662,8.086037,8.036731,8.086037,6.147540,33728
2014-09-03,8.086037,8.159994,8.038704,8.159994,6.203767,42074
2014-09-04,8.159008,8.159008,8.071245,8.086037,6.147540,31822
2014-09-05,8.101814,8.145203,8.086037,8.086037,6.147540,12087
2014-09-08,8.086037,8.135342,8.072231,8.135342,6.185025,43098
2014-09-09,8.146189,8.174786,8.096884,8.173800,6.214264,74799
2014-09-10,8.130411,8.173800,8.130411,8.130411,6.181276,24277
2014-09-11,8.135342,8.184647,8.125481,8.183661,6.221761,35320
2014-09-12,8.196480,8.196480,8.135342,8.183661,6.221761,6895
2014-09-15,8.197466,8.197466,8.150133,8.159994,6.203767,19054
2014-09-16,8.155064,8.229021,8.100828,8.184647,6.222509,43626
2014-09-17,8.204369,8.311854,8.184647,8.248743,6.271240,68836
2014-09-18,8.254660,8.380881,8.253674,8.283257,6.297481,19561
2014-09-19,8.244799,8.342423,8.243813,8.258604,6.278737,24023
2014-09-22,8.258604,8.335520,8.216202,8.216202,6.246502,26457
2014-09-23,8.340451,8.340451,8.219160,8.220146,6.249499,27623
2014-09-24,8.220146,8.275368,8.214230,8.243813,6.267492,23526
2014-09-25,8.243813,8.312840,8.243813,8.312840,6.319972,32248
