Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,9.927000,9.949000,9.900000,9.900000,8.056544,1440
2017-10-10,9.996000,10.020000,9.996000,10.000000,8.137921,17620
2017-10-11,10.300000,10.300000,9.900000,9.900000,8.073367,2150
2017-10-12,9.900000,9.900000,9.900000,9.900000,8.073367,0
2017-10-13,10.000000,10.001000,10.000000,10.000000,8.154916,3900
2017-10-16,10.001000,10.001000,9.900000,9.900000,8.073367,5500
2017-10-17,10.098000,10.099000,10.000000,10.000000,8.154916,10820
2017-10-18,9.901000,9.910000,9.900000,9.910000,8.081522,790
2017-10-19,9.901000,9.910000,9.900000,9.900000,8.073367,2000
2017-10-20,10.000000,10.077000,10.000000,10.049000,8.194876,5090
2017-10-23,10.039000,10.039000,10.039000,10.039000,8.186721,300
2017-10-24,9.902000,10.006000,9.902000,9.902000,8.074998,100
2017-10-25,9.902000,10.038000,9.900000,10.038000,8.185905,8220
2017-10-26,9.900000,10.017000,9.900000,10.017000,8.168779,8910
2017-10-27,9.950000,10.000000,9.950000,9.950000,8.114142,12990
2017-10-30,9.950000,9.951000,9.700000,9.700000,7.910267,2950
2017-10-31,10.009000,10.009000,9.600000,9.999000,8.154099,10590
2017-11-01,9.800000,9.800000,9.800000,9.800000,7.991817,1520
2017-11-02,9.800000,9.800000,9.800000,9.800000,7.991817,0
2017-11-03,9.801000,9.949000,9.800000,9.800000,7.991817,5740
2017-11-06,9.801000,9.801000,9.800000,9.801000,7.992632,4240
2017-11-07,9.800000,9.800000,9.501000,9.705000,7.914346,7790
2017-11-08,9.700000,10.000000,9.700000,9.999000,8.154099,16260
2017-11-09,9.821000,10.020000,9.820000,10.020000,8.171227,20770
2017-11-10,9.821000,10.030000,9.820000,10.030000,8.179379,19630
2017-11-13,9.900000,9.950000,9.900000,9.950000,8.140516,3180
2017-11-14,9.949000,10.029000,9.900000,10.029000,8.205153,5140
2017-11-15,10.029000,10.029000,10.029000,10.029000,8.205153,0
2017-11-16,10.000000,10.000000,9.900000,10.000000,8.181424,13410
2017-11-17,9.990000,10.000000,9.900000,10.000000,8.181424,7280
2017-11-20,10.000000,10.000000,10.000000,10.000000,8.181424,0
2017-11-21,9.803000,10.015000,9.450000,10.015000,8.193696,11040
2017-11-22,10.014000,10.014000,10.013000,10.013000,8.192060,400
2017-11-23,9.999000,10.000000,9.999000,10.000000,8.181424,500
2017-11-24,9.998000,10.015000,9.711000,10.000000,8.181424,6350
2017-11-27,9.997000,9.997000,9.967000,9.988000,8.171604,350
2017-11-28,9.821000,9.921000,9.530000,9.800000,8.017795,5020
2017-11-29,9.988000,9.988000,9.565000,9.800000,8.017795,6380
2017-11-30,9.800000,9.800000,9.000000,9.798000,8.016161,2420
2017-12-01,9.700000,9.700000,9.700000,9.700000,7.935979,2000
2017-12-04,9.699000,9.850000,9.431000,9.850000,8.058702,10100
2017-12-05,9.413000,9.900000,9.413000,9.900000,8.099607,3550
2017-12-06,9.900000,9.900000,9.900000,9.900000,8.099607,0
2017-12-07,9.700000,9.700000,9.700000,9.700000,7.935979,150
2017-12-08,9.699000,9.730000,9.699000,9.700000,7.935979,740
2017-12-11,9.700000,9.700000,9.700000,9.700000,7.935979,0
2017-12-12,9.897000,9.897000,9.600000,9.800000,8.017795,2190
2017-12-13,9.601000,9.601000,9.500000,9.600000,7.854168,14710
2017-12-14,9.216000,9.699000,9.100000,9.150000,7.486001,17480
2017-12-15,9.399000,9.400000,9.221000,9.400000,7.690535,13410
2017-12-18,9.398000,9.398000,9.008000,9.192000,7.520365,12910
2017-12-19,9.198000,9.388000,9.100000,9.100000,7.445094,33240
2017-12-20,9.100000,9.400000,9.100000,9.200000,7.526909,45630
2017-12-21,9.201000,9.349000,9.000000,9.300000,7.608723,27060
2017-12-22,9.300000,9.400000,9.250000,9.400000,7.690535,6200
2017-12-25,9.400000,9.400000,9.400000,9.400000,7.690535,0
2017-12-26,9.052000,9.800000,9.050000,9.800000,8.017795,38630
2017-12-27,9.849000,9.850000,9.400000,9.800000,8.017795,30850
2017-12-28,9.800000,9.849000,9.561000,9.800000,8.017795,5810
2017-12-29,9.800000,9.800000,9.800000,9.800000,8.017795,0
2018-01-02,9.798000,9.798000,9.510000,9.796000,8.014522,7280
2018-01-03,9.731000,9.745000,9.518000,9.745000,7.972797,8620
2018-01-04,9.650000,9.702000,9.600000,9.702000,7.937616,5590
2018-01-05,9.701000,9.701000,9.601000,9.601000,7.854983,300
2018-01-08,9.701000,9.702000,9.660000,9.702000,7.937616,10240
2018-01-09,9.700000,9.700000,9.600000,9.600000,7.854168,1870
